,side,market,wallet,shares,yes_no_index,pseudonym
88,YES,tyler-robinson-convicted-of-homicide,0x86f7dbacd13c144e334e86ec1639fa9e2854f459,20.0,0,Unsteady-Blade
89,YES,tyler-robinson-convicted-of-homicide,0x87ff41be5fd7aafe97095d21580be122a73783f1,19.983961,0,Impractical-Seashore
90,YES,tyler-robinson-convicted-of-homicide,0x17e9a3c48480176814fecff2b1e32cf49502590d,19.957445,0,Luminous-Season
91,YES,tyler-robinson-convicted-of-homicide,0x87d39f2bc9505a771672814a193c62fe9e9ccb86,18.421051,0,Worthy-Plantation-Worth
92,YES,tyler-robinson-convicted-of-homicide,0x409e60f5b1eaaf053cbb65457c9247d56b6ba1e0,18.205127,0,Decisive-Picnic
93,YES,tyler-robinson-convicted-of-homicide,0x9b0865ac699d79b1c1357ed6948c9fac984c4632,18.181817,0,Pungent-Airplane
94,YES,tyler-robinson-convicted-of-homicide,0x787585d93056275e8d02f32c309673a4d70d0dfb,17.51,0,Square-Itinerary
95,YES,tyler-robinson-convicted-of-homicide,0x5e9c2ca7bdb2b4bfb9d885e9009e8104089db5cf,15.384614,0,Unpleasant-Favor
96,YES,tyler-robinson-convicted-of-homicide,0x926c3bd0746fb58cfff0740ec60b694136ce96d3,15.255318,0,Medium-Documentation
97,YES,tyler-robinson-convicted-of-homicide,0x1400d526f45c191451052890f3b6f06c5a0ccbf5,14.953377,0,Extra-Small-Fishbone
98,YES,tyler-robinson-convicted-of-homicide,0xd12c623974efe4b58d0b94a57f4b5ff87776dce8,13.157893,0,Unlawful-Limb
99,YES,tyler-robinson-convicted-of-homicide,0x0a3a6d9ac826e260ff6b9bac779763d54ec459cb,12.820511,0,Required-Differential
100,NO,tyler-robinson-convicted-of-homicide,0xe4de861d59e174d3d153a5968bc122c66f30c949,10000.0,1,Firsthand-Offense
101,NO,tyler-robinson-convicted-of-homicide,0x00d1bfdb216e363bdb1a04dc02865a4dd99ec8a4,5987.255074,1,Any-Adviser
102,NO,tyler-robinson-convicted-of-homicide,0x96f795d0821b75a1c7f886b2c1cd49d108b7d6ae,5152.95095,1,Weekly-Accounting
103,NO,tyler-robinson-convicted-of-homicide,0xb1ca909e848cc24ec4e220ce1c453bc290c51705,3750.806511,1,Awesome-Availability
104,NO,tyler-robinson-convicted-of-homicide,0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250,3087.96,1,Exalted-Beam
105,NO,tyler-robinson-convicted-of-homicide,0x2b9dbf4b6e0e11309a9d6d2a09b72f65f652adc0,3073.46,1,Each-Jeans
106,NO,tyler-robinson-convicted-of-homicide,0x1f9e15f39bbd5d163b0eacf0fbef647ced9e4f1a,2668.65735,1,Wan-Gymnastics
107,NO,tyler-robinson-convicted-of-homicide,0x760907c8840491c8c86fddb843d3f1d801786c4e,2500.0,1,Odd-Deformation
108,NO,tyler-robinson-convicted-of-homicide,0xac4a1fabdac2438d6afa2a9e8e83845310a0bf1e,2103.303936,1,Charming-Grape
109,NO,tyler-robinson-convicted-of-homicide,0x524db836890e08aceb3abcdee98d44240e324495,1793.11,1,Distant-Inhibitor
110,NO,tyler-robinson-convicted-of-homicide,0x7e35a2a8cfd1eb1e69dacd043206db5a787f1a6c,1537.338259,1,Unfit-Hardboard
111,NO,tyler-robinson-convicted-of-homicide,0x5fa44ddbefd7c2962719dfbe14b9f164104dcd4e,999.992179,1,Scrawny-Venture
112,NO,tyler-robinson-convicted-of-homicide,0xbfbb9bdd654cb928a1b7b36e994bd53512a4dc2b,799.938845,1,Silent-Deck
113,NO,tyler-robinson-convicted-of-homicide,0x38390d45f459a7c4b413eb6e78bd57dbf8e7e2ee,673.076922,1,Immense-Gymnast
114,NO,tyler-robinson-convicted-of-homicide,0xa8c63f775ddbbe66b56614191747def3021444e8,499.991049,1,Natural-Vacation
115,NO,tyler-robinson-convicted-of-homicide,0xb1a2757fd88d6f66255f53565ada24d875b257fe,479.982221,1,Poor-Footage
116,NO,tyler-robinson-convicted-of-homicide,0xa0935ea62ba0820b43b3ebbf58a7d0de6b075d29,405.555553,1,Unruly-Plug
117,NO,tyler-robinson-convicted-of-homicide,0xd423e340f159718145bcf5adb8028b0612bb99e9,377.830187,1,
118,NO,tyler-robinson-convicted-of-homicide,0x1da867ce1f1aafe706f543f67a6692ad5b35aa05,348.935481,1,Front-Legislator-Birth
