,side,market,wallet,shares,yes_no_index,pseudonym
114,NO,tyler-robinson-convicted-of-homicide,0xa8c63f775ddbbe66b56614191747def3021444e8,500.0,1,Natural-Vacation
115,NO,tyler-robinson-convicted-of-homicide,0xb1a2757fd88d6f66255f53565ada24d875b257fe,480.0,1,Poor-Footage
20,YES,tyler-robinson-convicted-of-homicide,0x38a51237d1e26afdde983bac60ec5d86fc995eb9,417.0,0,Altruistic-Subcontractor
116,NO,tyler-robinson-convicted-of-homicide,0xa0935ea62ba0820b43b3ebbf58a7d0de6b075d29,406.0,1,Unruly-Plug
21,YES,tyler-robinson-convicted-of-homicide,0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c,398.0,0,Frozen-Car
117,NO,tyler-robinson-convicted-of-homicide,0xd423e340f159718145bcf5adb8028b0612bb99e9,378.0,1,
22,YES,tyler-robinson-convicted-of-homicide,0xf9b71663d723d28fa455db659098e1dacde860a4,374.0,0,
23,YES,tyler-robinson-convicted-of-homicide,0x60221d6a1330a615d8420110b71b1eb505e233ee,362.0,0,Icy-Proceedings
118,NO,tyler-robinson-convicted-of-homicide,0x1da867ce1f1aafe706f543f67a6692ad5b35aa05,349.0,1,Front-Legislator-Birth
119,NO,tyler-robinson-convicted-of-homicide,0x3825180182703613f3619d4611890c5b655504e8,348.0,1,That-Macadamia
120,NO,tyler-robinson-convicted-of-homicide,0x7ac83882979ccb5665cea83cb269e558b55077cd,320.0,1,Improbable-Responsibility
121,NO,tyler-robinson-convicted-of-homicide,0xc24fa1e0fda1552c830022807abd855aadbe220b,310.0,1,
122,NO,tyler-robinson-convicted-of-homicide,0x5b316b2bb1b3aefb0aa86270cf51b849b45cb2f0,246.0,1,Kind-Scimitar
123,NO,tyler-robinson-convicted-of-homicide,0x6b17d237e6b7f74ce8171d6dc68e07bc21c803b2,231.0,1,Jumbo-Cupcake
24,YES,tyler-robinson-convicted-of-homicide,0x8212525bb2d892eb760f4f188870f923de3d5933,224.0,0,Yawning-Program
25,YES,tyler-robinson-convicted-of-homicide,0xe1a6864952783191f34a0dc1e36e4e16a5210ac6,213.0,0,Big-Run
