,side,market,wallet,shares,yes_no_index,pseudonym
228,YES,diddy-found-guilty-of-sex-trafficking,0x20d405762857a2ed90db840d6dd75f2a69bff984,38.0,0,Fine-Eurocentrism
229,YES,diddy-found-guilty-of-sex-trafficking,0x23e8ba8818dafb0a60373f5872ae4052516e45c0,37.0,0,Attached-Casino
230,YES,diddy-found-guilty-of-sex-trafficking,0x3852e993de2f9c6a3df16f89ae435846a0f53390,35.0,0,Corrupt-Grub
231,YES,diddy-found-guilty-of-sex-trafficking,0xe4fbb7ddda77fd0310a6df2803dd4643e80b950b,35.0,0,Showy-Dictionary
232,YES,diddy-found-guilty-of-sex-trafficking,0xa4c6607288a060bff1824f47c905916afdb859bc,32.0,0,Pleased-Starter
233,YES,diddy-found-guilty-of-sex-trafficking,0xc1a1b031a4441394b4948e5179ff21f65b8f38a0,31.0,0,Chilly-Locker
234,YES,diddy-found-guilty-of-sex-trafficking,0xed361f241905c237b9aa4c5e83a48de683c91e83,29.0,0,Knobby-Cashew
235,YES,diddy-found-guilty-of-sex-trafficking,0x51ef4aece130ff6e90a32ca430573ad24555fddb,28.0,0,Fixed-Thorn
236,YES,diddy-found-guilty-of-sex-trafficking,0x0e917f53f152aa9b4fc38f54b670bc72c15edb21,28.0,0,Known-Ruling
237,YES,diddy-found-guilty-of-sex-trafficking,0x2a7d459024a831caf484403a399a2979e03138b2,27.0,0,Simple-Bangle
238,YES,diddy-found-guilty-of-sex-trafficking,0x20e124a9f0163587a9956d0b5a1633343dddd611,26.0,0,Fatherly-Liquor
239,YES,diddy-found-guilty-of-sex-trafficking,0x4be7399541d3d034e412613a532ed92034eda7bf,25.0,0,Watchful-Wife
240,YES,diddy-found-guilty-of-sex-trafficking,0x00b2a60352f184f1689f74c0c71bceec0196647a,24.0,0,Appropriate-Distribution
241,YES,diddy-found-guilty-of-sex-trafficking,0xf4df65378924af6de11fa312d2d0191623d80267,24.0,0,Sure-Footed-Tenth
242,YES,diddy-found-guilty-of-sex-trafficking,0xf8cd0ff46e1d37988451464e4040b188951a8202,23.0,0,Known-Baggage
243,YES,diddy-found-guilty-of-sex-trafficking,0xade41229c65a79e18683b608dbb0869b8ccc47b8,22.0,0,Tart-Soy
244,YES,diddy-found-guilty-of-sex-trafficking,0xa788101d65799b6c0713b8f80bc014718fabb641,20.0,0,Rosy-Distributor
300,NO,diddy-found-guilty-of-sex-trafficking,0x4ddb8cc8bb19f694ccea2fe146bfeca878e8c2a4,19.0,1,Candid-Album
245,YES,diddy-found-guilty-of-sex-trafficking,0x7fc6b8e8ddc165b9aa4bdee6fb4d0c515dcb0e19,18.0,0,
246,YES,diddy-found-guilty-of-sex-trafficking,0xd0597b13271c4f247e6d3d86fde21ec12d9a05ef,17.0,0,Everlasting-Excerpt
247,YES,diddy-found-guilty-of-sex-trafficking,0xea72cbe4d95c247eaea9275b0e70aa408be5c56f,17.0,0,Informal-Scheduling
248,YES,diddy-found-guilty-of-sex-trafficking,0xa0aa91662aaa912b223495953cb341a068859631,16.0,0,Lustrous-Invader
301,NO,diddy-found-guilty-of-sex-trafficking,0xcae703741cb19b91282df5dc830a626a6ab8a113,16.0,1,Failing-Equinox
249,YES,diddy-found-guilty-of-sex-trafficking,0x5f9b1a1722f50e09dbbc411dfa0893080872392c,16.0,0,Remorseful-Nurture
250,YES,diddy-found-guilty-of-sex-trafficking,0xd1e8f7aa15ed0202d81455bb497b83a99f6dd914,15.0,0,Prime-Pilaf
251,YES,diddy-found-guilty-of-sex-trafficking,0xd46595c93554c3970dfdbbd22a7c6bb4df0be65b,15.0,0,Zany-Fountain
252,YES,diddy-found-guilty-of-sex-trafficking,0xc314093ff334db37b66844d2c0b3a6d0149ead3b,15.0,0,Academic-Homonym
253,YES,diddy-found-guilty-of-sex-trafficking,0x47f5a89d80c08b35e5ea07c62007a93245f719aa,15.0,0,Watery-Millstone
254,YES,diddy-found-guilty-of-sex-trafficking,0x6d346006ba19ae41fd6c39498651ca98c5b5b9fd,14.0,0,Humongous-Valley
302,NO,diddy-found-guilty-of-sex-trafficking,0xee279abbcf794343205391ebec60edf76445992a,14.0,1,Indelible-Clave
256,YES,diddy-found-guilty-of-sex-trafficking,0x362d1d42e986e7479bf8245ec6e6a56aafed75dd,12.0,0,Jolly-Reduction
255,YES,diddy-found-guilty-of-sex-trafficking,0x20c8b2d3b069ce76a45d91c8e3a8ba09f816fe8f,12.0,0,
257,YES,diddy-found-guilty-of-sex-trafficking,0xec4b8c27f15c65331cbc1bdd57bbea6fffa6e2c1,12.0,0,Attached-Sleep
258,YES,diddy-found-guilty-of-sex-trafficking,0x86e59c70499209a8e82cce7f24fa642c9300dfb3,11.0,0,Impolite-Moai
303,NO,diddy-found-guilty-of-sex-trafficking,0x0c7a04cac49d5a652baee983e9790c0d40458a87,11.0,1,Youthful-Lag
